title,level
Python Developer (Odoo),Unknown
Python Developer (Odoo),Unknown
Python Developer (Odoo),Unknown
Junior Python developer,Unknown
Розробник чат-ботів,Unknown
"Backend Developer, військовослужбовець (Python/Odoo, центр логістичних рішень)",Unknown
Senior Python Engineer,Unknown
"Вчитель з програмування (створення ігор, веброзробка, Minecraft, Roblox Studio, Python)",Unknown
"Програміст для розробки інтерфейсів вимірювальних приладів (Raspberry Pi, C#, Python)",Other
Python developer (FastAPI),Unknown
"Python, AI Chatbot Developer",Unknown
Спеціаліст з автоматизації процесів (Python),Unknown
"Викладач курсу Python для дітей (9-16 р., онлайн)",Unknown
Embedded Software Engineer (Python/C++),Unknown
Python-програміст,Unknown
Team Lead Full-stack Developer (Python/React),Unknown
Senior Python Backend Engineer (AI Platform/FastAPI/Celery),Unknown
Python developer,Unknown
Викладач програмування (Python) в IT-школу у Гатне,Unknown
Python-програміст,Other
"Програміст C, C++, Python у Черкаси",Unknown
Python developer,Unknown
"Викладач в школу програмування (Scratch, Python, геймдизайн)",Unknown
"Викладач напрямків для аналітика даних (Power BI, SQL, Excel, Python, онлайн)",Other
Викладач Python для дітей,Unknown
"Викладач в школу програмування (Scratch, Python, геймдизайн)",Unknown
"Викладач програмування, інформатики Python та Roblox",Unknown
Python-програміст,Unknown
Python Developer,Unknown
"Trainee, Junior, Middle Python Developer",Unknown
"Full-stack Developer (PHP, HTML, CSS, JavaScript, Python)",Unknown
Senior Python Backend Engineer,Other
Odoo/Python Developer,Unknown
"Викладач в школу програмування (Python, Front-end) у Вишгород",Unknown
Python developer,Unknown
Middle Python-розробник на проєкт АСУТП,Unknown
Python developer,Unknown
Junior Python Developer (з навчанням),Unknown
Python-розробник (Scraping/Automation/API/FastAPI),Unknown
"Junior Python Developer (AI, Django, API, Automation, Bots, Scrapers)",Unknown
Junior Python Developer,Unknown
"Python developer (Django, FastAPI)",Unknown
Python developer,Unknown
Junior Python developer,Other
Python AI Engineer for Video Analytics,Unknown
Python Developer,Other
"Home Platform Developer (FS, FE, BE, HTML5, Python)",Unknown
"Python developer (Strong Junior, Middle)",Unknown
Automation QA Engineer (Python),Unknown
"Python developer, n8n specialist",Unknown
"Python developer (Trainee, Junior)",Unknown
"Викладач Python, HTML у приватний освітній заклад",Unknown
"Викладач програмування (Unity, Python) у школу",Unknown
Python Developer (Intern),Unknown
"Middle FullStack, Python Developer",Unknown
Junior Python Developer,Unknown
AI-програміст,Unknown
Python-програміст,Unknown
Python Developer,Unknown
Middle Data Engineer (Python),Unknown
Python Developer,Unknown
"Викладач програмування (Roblox, Python, Scratch, Minecraft)",Unknown
Automation Engineer (Python),Unknown
"Викладач у ІТ-школу програмування (Python, Scratch)",Unknown
Викладач у IT-школу програмування (Python),Unknown
Middle Python Developer,Unknown
"Python, Flask-розробник",Unknown
Python developer,Unknown
"Програміст С, С++, Python",Unknown
